UID,Start Time,Start Lat,Start Long,Stop Time,Stop Lat,Stop Long
030428b7,24/04/2019 16:23:37,36.3018,-46.7435,24/04/2019 16:25:45,30.7629,-39.8358
6e622330,24/04/2019 16:27:46,25.199,-34.1009,24/04/2019 16:29:54,19.0374,-28.6236
271cfc1b,24/04/2019 16:31:55,13.0657,-23.8669,24/04/2019 16:34:03,6.6172,-19.0904
dc45a071,24/04/2019 16:36:04,0.4922,-14.7204,24/04/2019 16:38:12,-5.9918,-10.1039
8469fdae,24/04/2019 16:40:13,-12.0743,-5.6303,24/04/2019 16:42:21,-18.4233,-0.6306
802a61b1,24/04/2019 16:44:22,-24.2505,4.4628,24/04/2019 16:46:30,-30.1665,10.4273
aca81472,24/04/2019 16:48:30,-35.4253,16.7961,24/04/2019 16:50:39,-40.5227,24.5706
8a0bc987,24/04/2019 16:52:40,-44.6949,33.0431,24/04/2019 16:54:48,-48.2291,43.3708
f70736ed,24/04/2019 16:56:48,-50.5077,54.3481,24/04/2019 16:58:57,-51.5841,66.8985
161412dc,24/04/2019 17:00:58,-51.2304,78.9057,24/04/2019 17:03:05,-49.45,91.0323
0c449965,24/04/2019 17:05:06,-46.6018,101.4061,24/04/2019 17:07:14,-42.5904,111.0263
e5c9714b,24/04/2019 17:09:15,-38.0771,118.884,24/04/2019 17:11:23,-32.7142,126.1133
4cab12d8,24/04/2019 17:13:24,-27.2748,132.0802,24/04/2019 17:15:32,-21.201,137.7458
9f32fab0,24/04/2019 17:17:33,-15.2888,142.6216,24/04/2019 17:19:41,-8.8956,147.4623
9b72191d,24/04/2019 17:21:42,-2.7898,151.8596,24/04/2019 17:23:50,3.7124,156.474
9ce3a03c,24/04/2019 17:25:51,9.8166,160.893,24/04/2019 17:27:59,16.209,165.7843
adffbbd2,24/04/2019 17:30:00,22.1028,170.7242,24/04/2019 17:32:08,28.1298,176.4705
be9e4720,24/04/2019 17:34:09,33.5306,-177.4357,24/04/2019 17:36:17,38.817,-170.053
26e08eb5,24/04/2019 17:38:18,43.2449,-161.9951,24/04/2019 17:40:25,47.131,-152.1251
23e1ceae,24/04/2019 17:42:26,49.8159,-141.5269,24/04/2019 17:44:35,51.3849,-129.1873
e4096100,24/04/2019 17:46:35,51.5088,-117.1144,24/04/2019 17:48:43,50.1926,-104.6608
31ae0a75,24/04/2019 17:50:44,47.7078,-93.8389,24/04/2019 17:52:52,43.9829,-83.701
e5585ca0,24/04/2019 17:54:53,39.6744,-75.4283,24/04/2019 17:57:02,34.4645,-67.835
1d653e91,24/04/2019 17:59:02,29.122,-61.5995,24/04/2019 18:01:11,23.1203,-55.7255
bbec521d,24/04/2019 18:03:12,17.251,-50.7107,24/04/2019 18:05:20,10.8718,-45.7658
5d7ed52c,24/04/2019 18:07:21,4.7752,-41.3219,24/04/2019 18:09:29,-1.7147,-36.7117
a4fb1d86,24/04/2019 18:11:29,-7.833,-32.3271,24/04/2019 18:13:38,-14.2605,-27.5127
41b83e09,24/04/2019 18:15:38,-20.1991,-22.6965,24/04/2019 18:17:46,-26.2918,-17.1443
aed24357,24/04/2019 18:19:47,-31.7852,-11.2989,24/04/2019 18:21:55,-37.2294,-4.2353
4f3692dc,24/04/2019 18:23:56,-41.8483,3.4341,24/04/2019 18:26:05,-46.0171,12.8577
6b884a39,24/04/2019 18:28:05,-49.0372,23.0208,24/04/2019 18:30:13,-51.0367,34.9815
326397c1,24/04/2019 18:32:14,-51.6185,46.943,24/04/2019 18:34:22,-50.7842,59.5493
04645906,24/04/2019 18:36:23,-48.7092,70.6978,24/04/2019 18:38:31,-45.3409,81.2789
cfc10aef,24/04/2019 18:40:32,-41.2942,89.9597,24/04/2019 18:42:40,-36.3159,97.8968
8ce967e4,24/04/2019 18:44:40,-31.129,104.4096,24/04/2019 18:46:49,-25.2509,110.5071
7450e68a,24/04/2019 18:48:50,-19.4625,115.6767,24/04/2019 18:50:57,-13.157,120.719
0bf3421f,24/04/2019 18:52:58,-7.0896,125.2229,24/04/2019 18:55:07,-0.5947,129.8616
